,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
44,KIOSCO ARIAS,ChIJE7DbtRwpQg0RQmnlGDtrra0,40.4577772,-3.6924429,book_store,"[0, 0, 0, 0, 0, 0, 0, 77, 85, 77, 81, 74, 51, 25, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 100, 62, 51, 62, 44, 25, 18, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 62, 66, 62, 70, 55, 33, 33, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 81, 74, 59, 70, 62, 40, 55, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 81, 55, 66, 85, 51, 18, 40, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 33, 37, 25, 25, 33, 29, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 11, 62, 85, 44, 48, 62, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,Librería Espacio Lector Nobel Tetuán,ChIJu4ZgRPYpQg0RLKo9zK6r_qM,40.45428810000001,-3.6977469,book_store,,,,,,,
46,Tik books Libros Usados GO,ChIJObWctqopQg0R_WANWYBWg-4,40.45388639999999,-3.7039703,book_store,,,,,,,
47,Kiosko de Prensa José Antonio Paino,ChIJOawEVB0pQg0R-w1It_Pz-88,40.4541709,-3.6926717,book_store,,,,,,,
48,Kiosko (Oscar Ricardo Pérez Cervera),ChIJ-e8twhspQg0R5Bxl2SV9q9Q,40.46068129999999,-3.688512499999999,book_store,,,,,,,
49,Centro Prensa,ChIJOzurHRQpQg0RUegpQxYmhEw,40.4694662,-3.6868596,book_store,,,,,,,
50,"Vida Consciente, S.L.",ChIJDSDmuR4pQg0RPSYwX_o__MU,40.4585154,-3.6866645,book_store,,,,,,,
51,Lindos Libros,ChIJa5k7mBkpQg0RsqbXOFVoVek,40.4623225,-3.6865152,book_store,,,,,,,
52,Allsystem Services,ChIJgZk4HRQpQg0Rb35mvR8nN6c,40.4694314,-3.6869929,book_store,,,,,,,
53,"Kory, papelería",ChIJcYxVHlYoQg0RktDhzLXYd_c,40.44737620000001,-3.703024700000001,book_store,,,,,,,
54,María Luisa de la Fuente Martínez,ChIJtUoDGaIpQg0RewDbWSeRD-Y,40.4728185,-3.7083978,book_store,,,,,,,
55,Germanischer Lloyd España,ChIJi1WhlQIpQg0RB9S-61Cp7IY,40.4549894,-3.6941146,convenience_store,,,,,,,
56,La Antigua Bacaladera,ChIJachZmQApQg0RRWPP_B5lY_c,40.4570581,-3.7024641,convenience_store,,,,,,,
57,Algas Gourmet - Tienda Algas comestibles,ChIJ75DORQUpQg0R5X-J_8AIJ1I,40.463157,-3.693523000000001,convenience_store,,,,,,,
58,Marajaspain,ChIJmzx0lEODQQ0RtTzWtzizGvY,40.46607,-3.691499,convenience_store,,,,,,,
59,Casa Ruiz Granel Selecto Madrid-Chamartín,ChIJHSsMLhopQg0R62gFjnGjdxY,40.4620299,-3.6882542,convenience_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 29, 32, 25, 0, 0, 0, 29, 29, 22, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 35, 48, 32, 0, 0, 0, 12, 9, 6, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 38, 45, 51, 0, 0, 0, 16, 16, 16, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 48, 38, 12, 0, 0, 0, 25, 22, 12, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 83, 100, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
